id,user_id,name,description,condition,notes,created_at,updated_at,type,country,year,front_image,back_image,added_by,added_date,continente,continent
215,8050297c-c956-4a6b-8857-55a45d502609,3 Dollars,,ottima,,2025-05-31 13:14:26.320008+00,2025-05-31 13:14:26.320008+00,banconota,Isole Cook,2021,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/r78cfcu2lgb_1748697261616.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/se0qvlr6u9q_1748697263903.jpg,Dario,2025-05-31 13:14:26.257+00,,Oceania
216,8050297c-c956-4a6b-8857-55a45d502609,1 Dinar,,buona,,2025-06-02 09:07:28.140304+00,2025-06-02 09:07:28.140304+00,banconota,Kuwait,1994,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/14t7nmiub2i_1748855339999.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/cklerzz4jbd_1748855342239.jpg,Dario,2025-06-02 09:07:28.012+00,,Asia
217,8050297c-c956-4a6b-8857-55a45d502609,1/4 Dinar,,buona,,2025-06-02 09:09:51.571064+00,2025-06-02 09:09:51.571064+00,banconota,Kuwait,1994,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/w6h0k80qnjb_1748855387410.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/xueaxqgob1_1748855389437.jpg,Dario,2025-06-02 09:09:51.489+00,,Asia
218,8050297c-c956-4a6b-8857-55a45d502609,1 Kip,,ottima,,2025-06-02 09:10:54.155196+00,2025-06-02 09:10:54.155196+00,banconota,Laos,1962,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/29xpfrn7r5m_1748855449978.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/ugy2s62nml_1748855452243.jpg,Dario,2025-06-02 09:10:54.071+00,,Asia
219,8050297c-c956-4a6b-8857-55a45d502609,1 Kip,,ottima,,2025-06-02 09:11:52.726505+00,2025-06-02 09:11:52.726505+00,banconota,Laos,1962,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/f1yugaqxomg_1748855508449.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/t6591vodf1k_1748855510564.jpg,Dario,2025-06-02 09:11:52.644+00,,Asia
220,8050297c-c956-4a6b-8857-55a45d502609,100 Kip,,ottima,,2025-06-02 09:12:56.427292+00,2025-06-02 09:12:56.427292+00,banconota,Laos,1979,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/60loiswqgqj_1748855572216.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/670xhimafdd_1748855574398.jpg,Dario,2025-06-02 09:12:56.34+00,,Asia
221,8050297c-c956-4a6b-8857-55a45d502609,1000 Livres,,discreta,,2025-06-02 09:14:25.365436+00,2025-06-02 09:14:25.365436+00,banconota,Libano,1988,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/ew03s019qng_1748855661336.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/cmk7yndik1_1748855663279.jpg,Dario,2025-06-02 09:14:25.284+00,,Asia
222,8050297c-c956-4a6b-8857-55a45d502609,5 Livres,,ottima,,2025-06-02 09:16:31.088863+00,2025-06-02 09:16:31.088863+00,banconota,Libano,1964,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/0twolfqklsta_1748855786088.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/2w7iz63jfph_1748855789009.jpg,Dario,2025-06-02 09:16:31.004+00,,Africa
223,8050297c-c956-4a6b-8857-55a45d502609,5000 Livres,,ottima,,2025-06-02 09:17:32.849688+00,2025-06-02 09:17:32.849688+00,banconota,Libano,2014,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/o8g6tzuyu6_1748855848298.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/ck4hnnhkala_1748855850679.jpg,Dario,2025-06-02 09:17:32.726+00,,Asia
224,8050297c-c956-4a6b-8857-55a45d502609,5 Rufiyaa,,ottima,,2025-06-02 09:19:39.877644+00,2025-06-02 09:19:39.877644+00,banconota,Maldive,2000,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/gfdyilea0bj_1748855975613.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/gyya8qamjln_1748855977763.jpg,Dario,2025-06-02 09:19:39.789+00,,Asia
225,8050297c-c956-4a6b-8857-55a45d502609,1 Ringgit,,ottima,,2025-06-02 09:21:12.539498+00,2025-06-02 09:21:12.539498+00,banconota,Malesia,1998,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/ke5qtpj96da_1748856068183.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/vhpz2dvfkaq_1748856070537.jpg,Dario,2025-06-02 09:21:12.46+00,,Asia
226,8050297c-c956-4a6b-8857-55a45d502609,1 Ringgit,,molto-buona,,2025-06-02 10:23:31.825014+00,2025-06-02 10:23:31.825014+00,banconota,Malesia,2018,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/gvi4sign6w_1748859807235.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/s8tjwbtuwl_1748859809884.jpg,Dario,2025-06-02 10:23:31.721+00,,Asia
227,8050297c-c956-4a6b-8857-55a45d502609,1 Ringgit,,molto-buona,,2025-06-02 10:24:15.715364+00,2025-06-02 10:24:15.715364+00,banconota,Malesia,2021,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/7ru171t7o0k_1748859851557.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/ijpi5wkophk_1748859853605.jpg,Dario,2025-06-02 10:24:15.651+00,,Asia
228,8050297c-c956-4a6b-8857-55a45d502609,500 Tögrög,,ottima,,2025-06-02 10:26:07.029807+00,2025-06-02 10:26:07.029807+00,banconota,Mongolia,2013,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/1hqmsk4q2bi_1748859962565.jpg,https://saofewzchoidfzozcuhd.supabase.co/storage/v1/object/public/collection-images/8050297c-c956-4a6b-8857-55a45d502609/b3b5x028u0t_1748859964813.jpg,Dario,2025-06-02 10:26:06.962+00,,Asia
